function_value,coverd_time,window_size,linear_length,non_linear_length,inverse_value
1.1,4221,561,490,71,0.3682382799987444
1.2,5952,561,490,71,0.4293399599978948
1.3,8490,561,490,71,0.4922835699973387
1.4,12243,561,490,71,0.5567654800007581
1.5,17781,561,490,71,0.6222267100030685
1.6,25974,561,490,71,0.6883945100044069
1.7,38090,561,490,71,0.7549919900053919
1.8,56062,561,490,71,0.8219772000058126
1.9,82726,561,490,71,0.8891333400060873
2.0,122326,561,490,71,0.956450870006168
