function_value,coverd_time,window_size,linear_length,non_linear_length,inverse_value
1.1,1198,561,530,31,0.14887276999875043
1.2,1431,561,530,31,0.16693407999592708
1.3,1745,561,530,31,0.20806479999416977
1.4,2175,561,530,31,0.2480426599924404
1.5,2757,561,530,31,0.29231523999029235
1.6,3554,561,530,31,0.33819335998866745
1.7,4639,561,530,31,0.3852613499875214
1.8,6128,561,530,31,0.43455032998689025
1.9,8162,561,530,31,0.4853836399863409
2.0,10946,561,530,31,0.5370332499895994
