function_value,coverd_time,window_size,linear_length,non_linear_length,inverse_value
1.1,717,561,545,16,0.06750603999936523
1.2,763,561,545,16,0.06888514999863933
1.3,819,561,545,16,0.0709223699976723
1.4,893,561,545,16,0.07456035999633645
1.5,988,561,545,16,0.08265900999375811
1.6,1107,561,545,16,0.14476005996854552
1.7,1260,561,545,16,0.15230498996710018
1.8,1459,561,545,16,0.1706111599638322
1.9,1714,561,545,16,0.20589417996220588
2.0,2041,561,545,16,0.23977473996037052
