function_value,coverd_time,window_size,linear_length,non_linear_length,inverse_value
1.1,824,561,526,35,1.0012915790658108
1.2,4064,561,526,35,1.0056765090652346
1.3,42675,561,526,35,1.011011639064783
1.4,456086,561,526,35,1.0159481973049
1.5,4368851,561,526,35,1.0204963986272702
1.6,37168431,561,526,35,1.0247340226115174
1.7,282529586,561,526,35,1.0287120382415191
1.8,1935175309,561,526,35,1.0324658772341675
1.9,12047228390,561,526,35,1.03602240018531
2.0,68719477260,561,526,35,1.0394030905047777
