function_value,coverd_time,window_size,linear_length,non_linear_length,inverse_value
1.1,797,561,527,34,1.00118908472982
1.2,3474,561,527,34,1.00528800472961
1.3,32948,561,527,34,1.0104544847296653
1.4,325926,561,527,34,1.015261571840617
1.5,2912743,561,527,34,1.019687466903737
1.6,23230467,561,527,34,1.0238078823586976
1.7,166194091,561,527,34,1.027673865598895
1.8,1075097627,561,527,34,1.031320702095617
1.9,6340646770,561,527,34,1.0347749522851555
2.0,34359738893,561,527,34,1.0380577564109226
