function_value,coverd_time,window_size,linear_length,non_linear_length,inverse_value
1.1,772,561,528,33,1.001086504729835
1.2,2983,561,528,33,1.0049042947295692
1.3,25466,561,528,33,1.0098943847296014
1.4,232955,561,528,33,1.0145717466714104
1.5,1942004,561,528,33,1.018875923135279
1.6,14519239,561,528,33,1.0228796679409495
1.7,97761447,561,528,33,1.026634057648655
1.8,597276694,561,528,33,1.030174268922604
1.9,3337182760,561,528,33,1.033526588247754
2.0,17179869710,561,528,33,1.0367118271626683
